LANDMARK_ID,DESCRIPTION,TYPE
L806,Waste Station 9,Pet Waste Station
L807,Hidden Gardens,Gardens
L808,Campsite 8,Campsite
L809,Campsite Restrooms,Restroom
L810,Campsitaae Restrooms,Resaatroom
L811,Park Entrance,Location
L812,Entrance Fountain,Fountain
L813,Waste Station 9,Pet Waste Station
L814,Entrance Restrooms,Restroom
L815,Overlook 9,Overlook
L816,Rock Formation 9,Rock Formation
L817,Overlook 10,Overlook
L818,Overlook Restrooms,Restroom
L819,Waste Station 10,Pet Waste Station
L820,Hidden Gardens,Gardens
L821,Park Entrance,Location
L822,Entrance Fountain,Fountain
L823,Waste Station 8,Pet Waste Station
L824,Entrance Restrooms,Restroom
L825,Overlook 8,Overlook
L826,Rock Formation 8,Rock Formation
L827,Overlook 9,Overlook
L828,Overlook Restrooms,Restroom
L829,Waste Station 9,Pet Waste Station
L830,Hidden Gardens,Gardens
L831,Campsite 8,Campsite
L832,Campsite Restrooms,Restroom
L833,Campsitaae Restrooms,Resaatroom
L834,Park Entrance,Location
L835,Entrance Fountain,Fountain
L836,Waste Station 9,Pet Waste Station
L837,Entrance Restrooms,Restroom
L838,Overlook 9,Overlook
L839,Rock Formation 9,Rock Formation
L840,Overlook 10,Overlook
L841,Overlook Restrooms,Restroom
L842,Waste Station 10,Pet Waste Station
L843,Hidden Gardens,Gardens
L844,Park Entrance,Location
L845,Entrance Fountain,Fountain
L846,Park Entrance,Location
L847,Entrance Fountain,Fountain
L848,Waste Station 5,Pet Waste Station
L849,Park Entrance,Location
L850,Entrance Fountain,Fountain
L851,Waste Station 5,Pet Waste Station
L852,Entrance Restrooms,Restroom
L853,Overlook 5,Overlook
L854,Rock Formation 5,Rock Formation
L855,Overlook 6,Overlook
L856,Overlook Restrooms,Restroom
L857,Waste Station 6,Pet Waste Station
L858,Hidden Gardens,Gardens
L859,Campsite 5,Campsite
L860,Campsite Restrooms,Restroom
L861,Campsitaae Restrooms,Resaatroom
L862,Park Entrance,Location
L863,Entrance Fountain,Fountain
L864,Waste Station 6,Pet Waste Station
L865,Entrance Restrooms,Restroom
L866,Overlook 6,Overlook
L867,Rock Formation 6,Rock Formation
L868,Overlook 7,Overlook
L869,Overlook Restrooms,Restroom
L870,Waste Station 7,Pet Waste Station
L871,Hidden Gardens,Gardens
L872,Park Entrance,Location
L873,Entrance Fountain,Fountain
L874,Waste Station 6,Pet Waste Station
L875,Entrance Restrooms,Restroom
L876,Overlook 6,Overlook
L877,Rock Formation 6,Rock Formation
L878,Overlook 7,Overlook
L879,Overlook Restrooms,Restroom
L880,Waste Station 7,Pet Waste Station
L881,Hidden Gardens,Gardens
L882,Campsite 6,Campsite
L883,Campsite Restrooms,Restroom
L884,Campsitaae Restrooms,Resaatroom
L885,Park Entrance,Location
L886,Entrance Fountain,Fountain
L887,Waste Station 7,Pet Waste Station
L888,Entrance Restrooms,Restroom
L889,Overlook 7,Overlook
L890,Rock Formation 7,Rock Formation
L891,Overlook 8,Overlook
L892,Overlook Restrooms,Restroom
L893,Waste Station 8,Pet Waste Station
L894,Hidden Gardens,Gardens
L895,Park Entrance,Location
L896,Entrance Fountain,Fountain
L897,Waste Station 6,Pet Waste Station
L898,Entrance Restrooms,Restroom
L899,Overlook 6,Overlook
L900,Rock Formation 6,Rock Formation
L901,Overlook 7,Overlook
L902,Overlook Restrooms,Restroom
L903,Waste Station 7,Pet Waste Station
L904,Hidden Gardens,Gardens
L905,Campsite 6,Campsite
L906,Campsite Restrooms,Restroom
L907,Campsitaae Restrooms,Resaatroom
L908,Park Entrance,Location
L909,Entrance Fountain,Fountain
L910,Waste Station 7,Pet Waste Station
L911,Entrance Restrooms,Restroom
L912,Overlook 7,Overlook
L913,Rock Formation 7,Rock Formation
L914,Overlook 8,Overlook
L915,Overlook Restrooms,Restroom
L916,Waste Station 8,Pet Waste Station
L917,Hidden Gardens,Gardens
L918,Park Entrance,Location
L919,Entrance Fountain,Fountain
L920,Waste Station 7,Pet Waste Station
L921,Entrance Restrooms,Restroom
L922,Overlook 7,Overlook
L923,Rock Formation 7,Rock Formation
L924,Overlook 8,Overlook
L925,Overlook Restrooms,Restroom
L926,Waste Station 8,Pet Waste Station
L927,Hidden Gardens,Gardens
L928,Campsite 7,Campsite
L929,Campsite Restrooms,Restroom
L930,Campsitaae Restrooms,Resaatroom
L931,Park Entrance,Location
L932,Entrance Fountain,Fountain
L933,Waste Station 8,Pet Waste Station
L934,Entrance Restrooms,Restroom
L935,Overlook 8,Overlook
L936,Rock Formation 8,Rock Formation
L937,Overlook 9,Overlook
L938,Overlook Restrooms,Restroom
L939,Waste Station 9,Pet Waste Station
L940,Hidden Gardens,Gardens
L941,Park Entrance,Location
L942,Entrance Fountain,Fountain
L943,Waste Station 7,Pet Waste Station
L944,Entrance Restrooms,Restroom
L945,Overlook 7,Overlook
L946,Rock Formation 7,Rock Formation
L947,Overlook 8,Overlook
L948,Overlook Restrooms,Restroom
L949,Waste Station 8,Pet Waste Station
L950,Hidden Gardens,Gardens
L951,Campsite 7,Campsite
L952,Campsite Restrooms,Restroom
L953,Campsitaae Restrooms,Resaatroom
L954,Park Entrance,Location
L955,Entrance Fountain,Fountain
L956,Waste Station 8,Pet Waste Station
L957,Entrance Restrooms,Restroom
L958,Overlook 8,Overlook
L959,Rock Formation 8,Rock Formation
L960,Overlook 9,Overlook
L961,Overlook Restrooms,Restroom
L962,Waste Station 9,Pet Waste Station
L963,Hidden Gardens,Gardens
L964,Park Entrance,Location
L965,Entrance Fountain,Fountain
L966,Waste Station 8,Pet Waste Station
L967,Entrance Restrooms,Restroom
L968,Overlook 8,Overlook
L969,Rock Formation 8,Rock Formation
L970,Overlook 9,Overlook
L971,Overlook Restrooms,Restroom
L972,Waste Station 9,Pet Waste Station
L973,Hidden Gardens,Gardens
L974,Campsite 8,Campsite
L975,Campsite Restrooms,Restroom
L976,Campsitaae Restrooms,Resaatroom
L977,Park Entrance,Location
L978,Entrance Fountain,Fountain
L979,Waste Station 9,Pet Waste Station
L980,Entrance Restrooms,Restroom
L981,Overlook 9,Overlook
L982,Rock Formation 9,Rock Formation
L983,Overlook 10,Overlook
L984,Overlook Restrooms,Restroom
L985,Waste Station 10,Pet Waste Station
L986,Hidden Gardens,Gardens
L987,Park Entrance,Location
L988,Entrance Fountain,Fountain
L989,Waste Station 8,Pet Waste Station
L990,Entrance Restrooms,Restroom
L991,Overlook 8,Overlook
L992,Rock Formation 8,Rock Formation
L993,Overlook 9,Overlook
L994,Overlook Restrooms,Restroom
L995,Waste Station 9,Pet Waste Station
L996,Hidden Gardens,Gardens
L997,Campsite 8,Campsite
L998,Campsite Restrooms,Restroom
L999,Campsitaae Restrooms,Resaatroom
L1000,Park Entrance,Location
